"dna1" "1. 주택"
"dna29" "29. 테라스와 발코니"
"dna33" "33. 한 주호의 주 출입구"
"dna34" "34. 출입구의 전이"
"dna42" "42. 현관"
"dna46" "46. 부엌"
"dna47" "47. 식사를 하는 공간 식당)"
"dna48" "48. 욕실"
"dna51" "51. 드레스룸"
"dna64" "64. 실외로 난 창"
"dna36" "36. 공적공간에서 사적공간으로의 점진적 변화 (프라이버시)"
"dna41" "41. 동선의 중심이되는 공용영역"
"dna44" "44. 부부의 영역"
"dna45" "45. 아이들의 영역"
"dna38-1" "38.1. 복도를 통한 방의 연결"
"dna43" "43. 지루하지 않은 복도"
